full_name,stargazers_count,forks_count,subscribers_count,open_issues_count,size,network_count,language,has_wiki,has_pages,has_issues,topics_count,age_days,created_at,pushed_at
AdguardTeam/AdGuardHome,34040,2334,321,1315,28746,2334,Go,True,False,True,10,3603,2016-07-06T10:31:47Z,2026-05-15T13:53:18Z
ZuodaoTech/everyone-can-use-english,34032,4753,310,105,278757,4753,TypeScript,True,False,True,0,2620,2019-03-15T16:33:53Z,2026-02-03T07:27:26Z
atlassian/react-beautiful-dnd,34002,2716,2,642,14804,2716,JavaScript,False,False,True,6,3204,2017-08-09T03:37:15Z,2025-08-18T04:35:31Z
QuantumNous/new-api,34000,7517,97,833,35993,7517,Go,False,False,True,7,919,2023-11-10T19:33:36Z,2026-05-17T10:54:39Z
frappe/erpnext,33953,11264,668,2076,1671643,11264,Python,True,False,True,16,5458,2011-06-08T08:20:56Z,2026-05-18T08:39:02Z
v2fly/v2ray-core,33949,5054,444,35,69155,5054,Go,False,False,True,13,2590,2019-04-15T10:05:54Z,2026-05-18T00:28:05Z
zxing/zxing,33945,9428,1648,3,243581,9428,Java,True,True,True,8,5331,2011-10-12T14:07:27Z,2026-05-12T22:36:35Z
awesome-foss/awesome-sysadmin,33936,2019,621,62,1322,2019,,False,False,True,9,4164,2014-12-23T08:41:22Z,2026-05-16T21:23:32Z
SagerNet/sing-box,33905,4007,188,250,20046,4007,Go,False,True,True,0,1417,2022-06-30T13:27:22Z,2026-05-18T01:15:03Z
lllyasviel/ControlNet,33885,3016,221,462,125281,3016,Python,True,False,True,0,1202,2023-02-01T02:43:30Z,2024-02-25T09:49:39Z
songquanpeng/one-api,33867,6477,165,1006,15963,6477,JavaScript,True,False,True,11,1121,2023-04-22T12:39:24Z,2026-01-09T03:26:43Z
anoma/anoma,33866,4116,192,120,78462,4116,Elixir,True,True,True,9,1931,2021-02-02T10:00:16Z,2026-04-10T13:33:51Z
IceWhaleTech/CasaOS,33849,1908,199,796,182856,1908,Go,True,False,True,10,1695,2021-09-26T02:33:09Z,2025-08-06T08:54:04Z
PDFMathTranslate/PDFMathTranslate,33830,3043,120,124,54517,3043,Python,True,False,True,19,619,2024-09-06T06:56:03Z,2026-05-12T17:03:15Z
halfrost/LeetCode-Go,33795,5739,615,23,19315,5739,Go,True,False,True,17,3226,2017-07-18T00:06:14Z,2024-12-11T05:55:51Z
Pythagora-io/gpt-pilot,33774,3495,297,247,359723,3495,Python,True,False,True,6,1005,2023-08-16T11:56:07Z,2026-04-17T02:38:37Z
balena-io/etcher,33724,2365,444,671,101184,2365,TypeScript,True,True,True,4,3855,2015-10-27T16:53:23Z,2026-05-13T16:39:46Z
alibaba/easyexcel,33722,7598,17,569,26334,7598,Java,True,False,True,7,3023,2018-02-06T03:14:08Z,2024-10-29T06:07:07Z
casey/just,33712,788,100,306,16667,788,Rust,False,True,True,0,3622,2016-06-17T06:08:08Z,2026-05-17T00:00:08Z
carbon-language/carbon-lang,33705,1533,358,226,104491,1533,C++,True,True,True,7,2211,2020-04-27T21:45:16Z,2026-05-18T03:21:50Z
Blankj/AndroidUtilCode,33677,10654,1158,327,47329,10654,Java,False,True,True,20,3578,2016-07-30T18:18:32Z,2024-08-15T10:38:10Z
nothings/stb,33669,8052,638,403,5854,8052,C,False,False,True,0,4375,2014-05-25T16:51:23Z,2026-04-15T20:53:29Z
medusajs/medusa,33666,4487,190,179,764349,4487,TypeScript,True,False,True,9,2311,2020-01-18T13:39:04Z,2026-05-18T09:04:24Z
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,33662,7145,688,64,879,7145,,True,True,True,13,1961,2021-01-02T12:08:37Z,2025-08-01T11:54:09Z
ocrmypdf/OCRmyPDF,33657,2333,190,144,69784,2333,Python,True,False,True,5,4532,2013-12-20T08:26:28Z,2026-05-12T13:52:48Z
huggingface/diffusers,33647,6991,215,1132,97109,6991,Python,True,False,True,15,1448,2022-05-30T16:04:02Z,2026-05-18T08:19:29Z
derailed/k9s,33639,2162,154,199,62657,2162,Go,True,False,True,8,2669,2019-01-25T18:46:02Z,2026-05-15T13:28:07Z
shadowsocks/shadowsocks,33591,18148,2022,450,891,18148,Python,True,False,False,0,5140,2012-04-20T13:10:49Z,2024-04-01T09:07:32Z
explosion/spaCy,33584,4682,560,204,203709,4682,Python,False,False,True,17,4336,2014-07-03T15:15:40Z,2026-03-28T20:59:29Z
lib-pku/libpku,33577,8228,1292,14,714371,8228,TeX,True,False,True,0,2733,2018-11-22T13:33:06Z,2022-01-05T04:09:27Z
restic/restic,33562,1752,226,534,70801,1752,Go,False,False,True,6,4403,2014-04-27T14:07:58Z,2026-05-16T15:49:08Z
TabbyML/tabby,33526,1746,183,315,112194,1746,Rust,False,True,True,9,1159,2023-03-16T09:18:01Z,2026-03-02T20:08:28Z
openai/CLIP,33507,4009,326,273,9143,4009,Jupyter Notebook,False,False,True,2,1978,2020-12-16T11:24:42Z,2026-03-25T18:46:40Z
fish-shell/fish-shell,33464,2300,280,550,178608,2300,Rust,True,False,True,4,5121,2012-05-10T03:00:55Z,2026-05-18T08:24:32Z
XX-net/XX-Net,33461,7574,1608,7920,60663,7574,Python,True,False,True,5,4141,2015-01-15T09:35:51Z,2026-05-12T08:21:36Z
pcottle/learnGitBranching,33458,5970,507,60,63008,5970,JavaScript,True,True,True,0,5025,2012-08-13T22:36:09Z,2026-05-13T16:25:58Z
AFNetworking/AFNetworking,33457,10598,3,102,6129,10598,Objective-C,True,False,False,0,5465,2011-05-31T21:28:44Z,2023-01-17T19:30:05Z
bayandin/awesome-awesomeness,33434,3599,1624,54,381,3599,Ruby,False,False,True,0,4332,2014-07-08T05:44:19Z,2024-06-02T22:46:41Z
swc-project/swc,33420,1393,148,402,445854,1393,Rust,False,False,True,11,3068,2017-12-22T11:40:14Z,2026-05-18T07:41:46Z
backstage/backstage,33361,7335,232,493,5196863,7335,TypeScript,False,True,True,9,2305,2020-01-24T22:39:49Z,2026-05-18T08:44:20Z
luongnv89/claude-howto,33355,4083,141,29,12860,4083,Python,True,True,True,3,191,2025-11-07T22:59:34Z,2026-05-15T06:55:32Z
vercel-labs/agent-browser,33312,2070,94,472,17043,2070,Rust,True,False,True,0,127,2026-01-11T05:38:15Z,2026-05-13T23:48:33Z
mli/paper-reading,33282,2808,813,1,9001,2808,,False,False,False,3,1669,2021-10-22T06:34:51Z,2025-03-22T03:49:35Z
router-for-me/CLIProxyAPI,33270,5526,82,347,14845,5526,Go,False,False,True,6,320,2025-07-01T19:43:27Z,2026-05-18T04:59:27Z
mckaywrigley/chatbot-ui,33245,9439,265,238,3644,9439,TypeScript,False,False,True,0,1163,2023-03-11T14:53:14Z,2024-08-03T00:38:07Z
continuedev/continue,33243,4524,153,771,870658,4524,TypeScript,False,False,True,8,1090,2023-05-24T03:39:39Z,2026-05-18T07:16:22Z
github/awesome-copilot,33235,4049,340,31,63629,4049,Python,False,True,True,8,340,2025-06-11T16:57:39Z,2026-05-18T01:26:59Z
MonitorControl/MonitorControl,33205,969,169,24,30047,969,Swift,True,True,True,18,3165,2017-09-16T21:13:40Z,2026-04-19T06:37:34Z
SerenityOS/serenity,33182,3328,357,748,240903,3328,C++,False,False,True,7,2723,2018-12-02T19:28:41Z,2026-05-16T13:03:46Z
bilibili/ijkplayer,33152,8235,1163,2895,8283,8235,C,True,False,True,6,4732,2013-06-03T04:12:04Z,2024-08-13T00:53:33Z
OpenBMB/ChatDev,33120,4105,358,54,377780,4105,Python,False,False,True,0,994,2023-08-28T02:18:13Z,2026-05-12T13:23:49Z
lissy93/web-check,33104,2677,169,82,27951,2677,TypeScript,True,False,True,5,1057,2023-06-25T14:32:11Z,2026-05-11T10:03:33Z
microsoft/graphrag,33063,3502,196,117,206018,3502,Python,True,True,True,7,781,2024-03-27T17:57:52Z,2026-05-13T19:27:47Z
immutable-js/immutable-js,33061,1845,484,123,147822,1845,TypeScript,True,True,True,0,4338,2014-07-02T06:02:29Z,2026-05-17T18:30:51Z
adobe/brackets,33053,7492,24,2778,92974,7492,JavaScript,True,False,True,0,5275,2011-12-07T21:14:40Z,2022-06-12T08:19:24Z
certbot/certbot,33034,3493,734,189,73707,3493,Python,True,False,True,6,4205,2014-11-12T02:52:20Z,2026-05-15T21:41:19Z
k3s-io/k3s,33033,2661,283,142,590635,2661,Go,True,False,True,2,2909,2018-05-31T01:37:46Z,2026-05-15T08:52:56Z
zeromicro/go-zero,33010,4294,309,275,32906,4294,Go,False,False,True,20,2109,2020-08-07T15:37:57Z,2026-05-16T04:35:05Z
